AvgCaptionLen,stat_StdPhotoDis,AvgPhotoDis,MeanPhotoDisbyCap,CaptionPercentage,PredictedStd,TopWordPopularity,Zscore,Entropy,diff_AvgPhotoDis,diff_TopWordPopularity,diff_Entropy,tfidf1,tfidf2,tfidf3,NumberOfHashtages1,NumberOfHashtages2,NumberOfHashtages3,NumberOfPhotsoContaingTopWord1,NumberOfPhotsoContaingTopWord2,NumberOfPhotsoContaingTopWord3,Top10PhotoLocationNameFreq,label
47.692308,0.139075,0.281416,7.521432,0.866667,1.363058,0.179487,4.094269,2.669372,-0.114635,21.354732,0.427287,0.959622,0.948303,0.838321,0.5,0.5,0.5,4,2,2,0.1,1
42.235294,0.091697,0.269884,7.400776,0.944444,2.301275,0.176471,4.000844,2.494904,-0.05431,21.968174,0.381203,1.735609,0.664677,0.366914,0.5,1,1,6,2,2,0.5,1
40.507353,0.124941,0.345088,7.829717,0.804734,12.878584,0.154412,4.592569,1.828327,-0.05461,9.290256,0.25024,0.417145,0.385504,0.28699,3.233766,2.6,3.527778,77,40,36,10.4,1
46.583333,0.12442,0.123499,6.080541,0.857143,2.093933,0.527778,3.137535,2.258096,-0.047136,20.832144,0.053957,2.188422,2.175237,1.303534,1.125,1.285714,1.285714,8,7,7,1,1
37.37931,0.082515,0.293814,7.634122,0.935484,7.079155,0.103448,3.112753,2.842965,-0.055358,19.617597,0.271888,0.425101,0.369798,0.341761,0.333333,0.333333,4.333333,3,3,3,0.5,1
34.666667,0.107575,0.305493,8.167047,0.775862,3.259762,0.066667,4.671151,2.546404,-0.028671,16.375671,0.051838,0.349774,0.215611,0.170651,2.4,3.666667,0.333333,5,3,3,1.7,1
58.8,0.058444,0.314628,7.529963,0.833333,1.621395,0.2,4.842148,2.951143,0.140543,21.687963,0.754051,1.211044,1.180214,1.027786,5.5,2.5,1.5,2,2,2,0.4,1
38.5,0.137144,0.248811,7.296674,0.947368,2.692631,0.166667,4.609262,2.285806,-0.030785,19.899365,0.111955,1.037539,0.672802,0.34653,0.8,1.666667,0,5,3,2,0.7,1
47.214286,0.094512,0.345513,7.500842,0.875,1.406798,0.166667,4.097858,2.934694,0.05778,21.01328,0.145261,0.932244,0.823934,0.457513,2.5,4.5,6,4,2,2,0.3,1
30.2,0.058883,0.18879,7.397703,0.909091,0.883413,0.133333,6.548432,2.903702,-0.012574,21.571015,0.719082,1.211044,0.564976,0.544909,0.666667,1,0,3,1,1,0.1,1
36.588235,0.086474,0.206108,7.720237,0.85,1.680243,0.058824,4.99512,2.388481,-0.174498,21.146153,0.470684,0.366914,0.347122,0.332339,0,0,6,1,1,1,0.8,1
64,0.035881,0.144063,7.096811,1,1.680244,0.305556,3.855458,2.719964,-0.19332,20.99768,0.242141,1.671256,1.671256,0.959912,4.8,2,4.4,5,5,5,0.1,1
57.166667,0.080339,0.154315,7.287954,0.96,1.673739,0.166667,5.392587,2.328241,-0.108584,17.861819,0.368222,0.900129,0.567388,0.536454,3.6,2.25,3.5,5,4,4,0.4,1
38.307692,0.021295,0.037496,6.212992,1,2.591187,0.384615,4.471813,2.036569,-0.241688,21.553552,0.386364,2.661941,0.838321,0.453929,0.5,0.5,1.333333,8,8,3,0.6,1
36.769231,0.073635,0.126988,7.898553,0.928571,1.680247,0.153846,5.553691,2.434269,-0.1168,21.089416,0.569619,0.443657,0.434597,0.41916,5.5,4.5,4.5,2,2,2,0.4,1
39.863636,0.071117,0.11691,7.02758,0.93617,0.882702,0.242424,13.963932,2.306545,-0.111833,20.051968,0.468752,1.926661,1.155632,1.002793,1.285714,1.071429,1.076923,14,14,13,1,1
45.68,0.066643,0.331483,7.571742,0.925926,2.922265,0.133333,4.897249,2.904157,-0.006833,19.843361,0.72664,0.857932,0.708128,0.514996,0.666667,0,0,6,3,3,0.3,1
46.385965,0.085147,0.270843,7.510446,0.934426,6.258274,0.134503,3.866509,2.651592,0.004144,16.896068,0.070111,0.763241,0.534269,0.414206,1.333333,1.375,1.125,15,8,8,1.3,1
45.397059,0.072288,0.254759,7.738739,0.906667,3.364086,0.063725,4.132962,2.850227,-0.027946,16.098676,0.077683,0.261509,0.233869,0.197633,3,3.8,2.4,6,5,5,0.8,1
24.375,0.061722,0.230999,7.640007,0.8,1.773966,0.208333,3.267415,2.925853,-0.092058,22.803896,0.159916,0.720942,0.70622,0.660254,0.333333,0,1,3,1,1,0.1,1
41.8,0.085963,0.220679,7.442948,0.961538,1.077849,0.146667,8.325555,2.291474,-0.045697,18.879246,0.239964,1.072415,0.708128,0.633844,2.625,3.333333,3.666667,8,3,3,0.7,1
30.317073,0.06434,0.343537,7.726601,0.911111,3.505678,0.065041,4.561074,3.052141,0.01747,18.265309,0.154655,0.269208,0.234266,0.188195,0.6,1.5,0.5,5,2,2,0.3,1
48.346154,0.071347,0.138694,7.533197,0.928571,1.384289,0.153846,6.828168,2.193562,-0.095068,20.128168,0.174258,0.801219,0.698679,0.628741,4.75,4.25,2.5,4,4,4,0.1,1
32.083333,0.065399,0.16689,7.542431,0.857143,1.144935,0.222222,6.04397,2.305321,-0.217665,21.429108,0.681544,0.720103,0.564749,0.519795,0.8,1.25,0.5,5,4,2,0.6,1
